Title,Description
"Pepperoni Casserole","Spaghetti with a twist! Your standard spaghetti topped with a combination of…"
"Seafood Lasagna II","This super rich, Alfredo based seafood lasagna is a huge hit in our family. It takes a while to…"
"Amazing Sun-Dried Tomato Cream Sauce","This is a recipe I've created myself - and everyone that tries it loves it. It tastes just like…"
"Spaghetti Pizza Lasagna","Baked spaghetti with ground beef and pepperoni topped with shredded cheese."
"Limoncello","Truly distinguished ice cold refreshing drink! Lemon zest is steeped in vodka for a week,…"
"Italian Meatballs","Baked meatballs seasoned with oregano and garlic, simmered in spaghetti sauce."
"Awesome Broccoli Marinara","This is a great quick version of an Italian traditional side dish in our family all the way…"
"Cheese Lasagna","A meatless lasagna made with ricotta, parmesan and mozzarella cheese."
"Angel's Yummy Bruschetta","A delicious Italian appetizer that was divided and revised and modified over several years. I…"
"Penne Pasta with Cannellini Beans and Escarole","This is a great pasta dish. The hardest part of the whole recipe is cutting the escarole. It is fast,…"
"Italian Summer Squash Polenta Bake","Even the name of this dish makes your mouth water. But we love polenta, and so will you…"
"Chicken Valdostano","Delicious Italian skillet dish with prosciutto ham, fontina cheese (one of Italy's best…"
"Mushrooms and Spinach Italian Style","This recipe is a typical recipe of Southern Italy, specifically Apulia. Spinach and mushrooms…"
"Rosemary Pasta in Roasted Garlic Sauce","My mother has been making this dish for as long as I can remember. Lots of rosemary and…"
"Chicken with Artichokes and Sundried Tomatoes","Angel hair pasta topped with chicken, artichoke hearts, sun-dried tomatoes, and feta cheese is…"
"Batman's Best Caesar Dressing","Fast, easy, creamy Caesar salad dressing that is also an excellent marinade for chicken or…"
"Rita's Spinach Casserole","This is a quick and delicious way to get kids to eat spinach! Ground beef and tomato sauce…"
"Amazing 'Pizza' Pork Chops","Topping your pork chops with tomato, basil, oregano, garlic, and mozzarella cheese will…"
"Pasta Sauce with Italian Sausage","A flavorful homemade recipe for those who like meaty, savory sauces. Serve over your favorite…"
"Simple Sicilian Salad Dressing","Shake olive oil and balsamic vinegar in a jar with dried oregano and freshly ground pepper to…"
"Turkey Tetrazzini","This is a great recipe for leftover turkey. Even those who say they don't like turkey will eat…"
"Parmesan Puffs","Parmesan cheese dough drops are baked into puffy little appetizer balls and dipped in warm…"
"Pasta with Italian Sausage and Pumpkin Sauce","Tender campanelle (trumpet-shaped pasta) are served in a creamy sauce with Italian sausage…"
"Four Cheese Sauce","A marvelous alchemy of heavy cream, butter and Parmesan, mozzarella, provolone and…"
"Sweet Sausage Marsala","This is a great Italian dish that doesn't require a lot of work. Sweet Italian sausage is cooked…"
"Eggplant Parmesan Casserole","Use Chef John's simple techniques to make an eggplant casserole that has all the flavor and…"
"Italian Sausage with Farfalle and Broccoli Rabe","A beautiful two pan entree that'll please anyone who likes Italian sausage. Delicious with…"
"Chicken Manicotti Alfredo","Large manicotti noodles are stuffed with an aromatic blend of marinated chicken, ricotta…"
"Italian Style Sausage","Custom-blend herbs and spices to make your own Italian sausage! Try this earthy mix of…"
"Italian Baked Cannelloni","A savory, creamy, cheesy meat filling is stuffed into pasta shells and topped with a…"
"Italian Butter","If you are looking for a Italian bread dip, try this. It makes a spectacular bread dip, suitable for…"
"Spicy Oil and Vinegar Bread Dip","This recipe is fantastic with warm crusty Italian bread, or any other bread for that matter! Use…"
"Orzo with Chicken and Artichokes","Orzo with Artichokes, Balsamic vinegar and Chicken -- as easy as A-B-C! Pancetta, spinach,…"
"Easy Four Cheese Lasagna","Meatless lasagna with cottage cheese, mozzarella, Cheddar and Parmesan."
"Italian Cookies I","This cookie recipe has been handed down to me from my grandmother. It has been in the…"
"Italian Subs - Restaurant Style","This is a classic Italian sub sandwich with three kinds of meat and provolone cheese. The kind…"
"Ellen's Chicken Cacciatore","Tender chicken thigh meat simmers in a savory tomato sauce for an Italian-inspired meal…"
"Exquisite Yeastless Focaccia","This recipe for focaccia was given to me by my best friend, who is Italian. It's incredibly…"
"Aunt Anne's Sesame Cookies","After trying my hand at countless sesame cookie recipes, my Italian girlfriend shared her Aunt…"
"Stuffed Eggplant Parmesan","Eggplant centers are cooked with onion, garlic, and seasonings, then re-stuffed into the…"
"Cranberry Almond Biscotti","I modified a recipe to make this a darker biscotti. For a richer almond flavor, use…"
"Italian Rice Balls","These cheesy deep-fried rice balls are served with Italian dinners as a side like a bread.…"
"Owen's Mozzarella and Tomato Salad","So easy, looks great, and tastes fabulous. Plump tomatoes are topped with thick slices of…"
"Fantastic Focaccia Bread","This easy to make focaccia bread is terrific for sandwich making."
"Chicken Lasagna IV","This lasagna is baked with a creamy blend of cream of chicken soup, cream of mushroom…"
"Fettuccini Tomato Rustica II","Fettuccini is tossed with olive oil, chicken, pesto, ricotta, feta and sun-dried tomatoes."
"Cabbage and Smoked Sausage Soup","Even kids who don't care for vegetable soup may enjoy this one. Very good flavor.…"
"Skillet Spinach Lasagna","Sausage, lasagna noodles, and spinach are simmered with tomatoes and ricotta cheese…"
"Basic Cheese Polenta","Parmesan cheese gives this polenta a nice, subtle cheese flavor. Serve it immediately as a…"
"Brian's Favorite Sauce","Italian sausage is sauteed with onion and garlic, then simmered with tomatoes, oregano and…"
"Italian Eggplant Tomato Bake","Eggplant, tomato, and cheeses are layered, baked, then served over pasta. An easy and…"
"Artichoke and Tomato Chicken","This is a delicious recipe that I came up with one afternoon when I couldn't find anything to…"
"Manicotti Shells","Fill with your favorite filling, fold over sides and bake with sauce and cheese."
"Fideo (Mexican Spaghetti)","A very unusual but very delicious pasta dish. My Mexican grandfather used to make it and I…"
"Braised Pork Ragu","This rich pork and tomato ragu is best when served over Parmesan risotto, but also tastes…"
"Vegetable Medley I","Basil, oregano and olive oil, and lots of fresh vegetables are warmed together, sprinkled…"
"Sirloin Marinara","Sirloin strips and onions are sauteed, and then simmered with tomato sauce, red wine, and…"
"Pizza Crust for Bread Machine","Semolina flour is specified here for its ability to hold shape. No floppy crust from this recipe,…"
"Ham and Asparagus Fettuccine","Asparagus and diced ham dress up this springtime fettuccine Alfredo."
"Crab Alfredo","Simply put, delicious! A little on the decadent side, but it can be made with fat-free…"
"Grandma's Best Ever Sour Cream Lasagna","Sour cream is the surprise ingredient in this meaty lasagna. It makes the cheese layer…"
"Gourmet White Pizza","Yummy! This is a wonderful pizza for those who are looking to get away from the basic, cheese…"
"Quick Italian Vegetable Soup","A quick Italian vegetable soup ready in less than an hour. A sprinkle of fresh grated Parmesan…"
"Party Italian Wedding Soup","A large batch of traditional Italian Wedding soup. This soup offers plenty of meat,…"
"Baked Fettuccine Lasagna","Creamy and comforting, this noodle casserole combines sauteed onion and bell peppers…"
"Delicious and Easy Mock Risotto","If you love creamy risotto, but can't stand the fuss behind making it, this is a great and…"
"My Best Chicken Piccata","Golden-brown pieces of chicken breast are served in a light lemon and white wine sauce…"
"Cannoli","Ana and Lydia's cannoli, recipe invented on July 31st, 2005. I spent a lot of time looking for a…"
"Lori's Spicy Chipotle Lasagna","This version of lasagna packs lots of flavor from Parmesan and Asiago!"
"Beef Parmesan with Garlic Angel Hair Pasta","If you love garlic, try tossing angel hair pasta with garlic, butter, Parmesan and parsley. Use…"
"Emily's Famous Tiramisu","Homemade ladyfingers are soaked in a rum-coffee syrup and layered with sweetened…"
"Meatloaf with Italian Sausage","Ground beef and Italian sausage mixed with bell pepper, onion, hot wheat cereal and meatloaf…"
"Shrimp Linguine with Tomatoes","Pasta with shrimp in a creamy cheese and herb sauce. I created this dish after trying a similar…"
"Pork Chops with Italian Sausage","Popular Italian ingredients like mushrooms, sausage, red wine and herbs make this pork…"
"Ricotta Cookies II","Delicate Italian ricotta cookies with an almond flavored glaze. Very good!"
"Osso Buco","Osso Buco is an Italian dish made with veal shanks, browned and simmered with…"
"Bowties and Broccoli","Bowties, steamed broccoli, and Romano cheese - Delicious!"
"Mom's Best Spaghetti Sauce","A long, slow simmer of tomatoes, basil, mushrooms, onions, garlic, salt, pepper, sugar…"
"Spaghetti With Marinara Sauce","You'll find many uses for this versatile pasta sauce. Let tomatoes, garlic, sugar, parsley,…"
"Ham and Fresh Basil Pinwheels","Italian standbys--like fresh basil and sun-dried tomatoes--roll up here with ham, cheese and…"
"Brenda's Lasagna","Rich, gooey ricotta and mozzarella are accented by tangy Cheddar, layered with ground beef…"
"Sicilian Spaghetti","Anchovies sauteed with garlic and oil makes a pungently tasty sauce for hot spaghetti. Add…"
"Sun-dried Tomatoes I","Worth their weight in gold. Four pounds of tomatoes and a bit of salt produce a quart of…"
"Pasta with Pesto and Scallops","A fragrant saute of onions, garlic, bell pepper and mushrooms is simmered with white wine…"
"Veal Marsala","Veal cutlets are pounded thin, breaded and cooked in a skillet with butter, mushrooms…"
"Zucchini Parmigiana","Breaded zucchini slices are layered with tomato sauce, ricotta cheese, and mozzarella!"
"How to Make Bolognese Sauce","Chef John's hearty and intensely flavorful Bolognese sauce is more than just a pasta…"
"Baked Shrimp Scampi","Tender shrimp are tossed with butter, garlic, and lemon juice and baked with Italian-seasoned…"
"Quick Italian Pasta Salad","A quick and flavorful pasta salad with salami and bell peppers."
"Meatball Grinders with a Yummy Sauce","Meatballs simmered in pizza sauce and sweetened with apple jelly are served on…"
"Vodka Rigatoni","Roasted peppers and salty prosciutto jump into a saucepan with crushed tomatoes, parsley,…"
"Homemade Noodles","It just takes a few minutes to make wonderful, homemade noodles. All you need is flour, egg…"
"Pasta/Pizza Sauce","A versatile pizza sauce made with tomato paste, Italian herbs and Parmesan cheese."
"Spicy Italian Salad","A marinated artichoke dressing and two types of olives are the highlight of this zesty romaine…"
"Pepperoni Stuffed Mushrooms","Baked, stuffed mushroom caps make a deliciously impressive appetizer for meals or…"
"Caprese Chicken","Chicken breasts are marinated in Italian dressing, seared in a hot skillet, and baked…"
"Pasta Melanzana","A quick, flavorful way to cook eggplant. This is a tasty one-dish meal prepared with spinach…"
"Scrambled Eggs with Zucchini","Adding zucchini, Parmesan cheese, and garlic powder to eggs makes for a delicious meal at…"
"Kelli's Fried Green Zucchini","Fresh zucchini are sliced and coated with seasoned crumbs, then fried in olive oil,…"
"Easy Olive Oil, Tomato, and Basil Pasta","This is a great pasta that can be eaten at room temperature or as a cold salad. Instant,…"
"Chicken and Asparagus Fettuccine","This is so rich and filling that one serving goes a long way. Crusty bread and a salad is all this…"
"Creamy Artichoke Pasta","This is a great fast and simple pasta dish, with a sauce that is lower in fat, yet creamy! If you…"
"Italian Cream Cake I","This is a wonderful, award winning cake. Feel free to substitute your favorite nuts for the…"
"Italian Green Beans","Fresh green beans are simmered with butter and Italian dressing."
"Grandma Maggio's Spaghetti Sauce","Grandma Maggio handed down her recipe for a sweet, garlicky tomato sauce with lots of fresh…"
"Shrimp and Asparagus Fettuccine","A simple, light combination of fresh asparagus, shrimp, and Parmesan cheese is served with…"
"Italian Green Bean Chicken","This is a really flavorful dish featuring simmered chicken and green beans in a simple tomato…"
"Pasta Primavera Sauce","Tomatoes, broccoli, zucchini, bell pepper, onion, and herbs make up this easy fresh-tasting sauce."
"Florentine Stuffed Chicken","Bone-in chicken breasts stuffed with spinach, cheese and onion and baked until tender. This…"
"Easter Meat Pie","This meat pie is a winner every Easter. Stuffed full of ham, salami, and prosciutto, as well as…"
"Basil Pesto Bread Rounds","A very easy and versatile recipe of a pesto topping on French bread slices. One of my…"
"Lighter Chicken Fettuccine Alfredo","Chef John's version of chicken fettuccine alfredo is lightened by substituting some of the heavy…"
"Deep Dish Lasagna","Always a crowd-pleaser: lasagna with mozzarella, ricotta, and Parmesan cheeses,…"
"Mozzarella Parmesan Chicken","Using lowfat cheese and soups, this creamy baked chicken will fool everyone who thinks…"
"Braciola I","Top round steak slices are stuffed and rolled, sauteed in olive oil, then simmered in tomato…"
"Pinwheel Italian Calzones","Once you try these mini calzones, you may never go back to fixing the large ones again! …"
"Olive Oil Dip for Italian Bread","Dip your bread in olive oil seasoned with fresh garlic, balsamic vinegar, Parmesan cheese,…"
"Mediterranean Crusted Chicken","A deliciously rich chicken entree that is best served with mild side dishes such as sauteed…"
"Meatball Cookies","Italian, Christmas cookie, round, chocolate and spicy. The smell always gets me charged for…"
"Catfish Tuscany","Succulent broiled fish fillets topped with a Mediterranean-inspired blend of cheese and…"
"Italian-Style Swiss Chard","Swiss chard is a staple in many European kitchens, this Italian family recipe is easy to…"
"Turkey Pinwheel","Ground turkey makes a tasty rolled meatloaf with Italian flavors and a surprise filling of…"
"Kid's Favorite Pizza Casserole","This easy pizza-flavored macaroni casserole will delight both your family and your budget."
"Italian Bread II","Mixed in the bread machine, this easy yeast bread with olive oil and a dusting of cornmeal…"
"Layered Eggplant Hamburger Casserole","Eggplant goes great with tomato, hamburger and garlic in this easy-to-prepare and…"
"Italian Beef in a Bucket","Italian beef prepared with pantry ingredients. This is wonderful for Super Bowl and parties! …"
"Deep Dish Alfredo Pizza","A family favorite, that is rich, cheesy, creamy and oh so good! The crust may also be prepared in…"
"Tofu and Cheese Stuffed Shells","Jumbo pasta shells are stuffed with a creamy mixture of tofu, carrot, zucchini, onion and…"
"Italian Seasoning II","Better than already prepared types because you can adjust it to your taste. I use the bulk…"
"Hot Italian Sausage","An Italian friend of mine had an Italian restaurant and used this recipe for over 30…"
"Italian Leafy Green Salad","This is a very, very healthy and hearty salad with a fabulous grapeseed oil and balsamic vinegar…"
"Minestrone Soup","This soup uses vegetable stock for the base and then goes on beautifully from there. Fresh…"
"Classic Chicken Tetrazzini","An Italian feast, this dish pairs earthy mushrooms with a nutty Swiss cheese cream…"
"Strawberry Goat Cheese Bruschetta","Charred Italian bread is topped with creamy goat cheese and a mixture of strawberries and…"
"Cream Cheese Alfredo Sauce","A smooth and creamy white sauce with portobello mushrooms is all it takes to make…"
"Garlic Cheese Flatbread","Golden brown, chewy and cheesy, this recipe is a hit with Italian dishes."
"Goat Cheese Arugula Pizza - No Red Sauce!","This pesto-based pizza is an amazingly simple and delicious variation to your regular pizza.…"
"Kale Puttanesca","Whole wheat angel hair pasta and chopped kale receive the puttanesca treatment of capers,…"
"Daddy's Sausage and Peppers","This is a great recipe for anyone who loves bell peppers! My dad always made this for me…"
"Mozzarella Puffs","Buttermilk biscuits are stuffed with mozzarella cheese, covered in pizza sauce and baked to…"
"Restaurant Style Lasagna","Three types of cheese make this lasagna with meat sauce a cheesy, savory delight!"
"Blueberry Ricotta Squares","A blueberry coffeecake with a ricotta cheese topping. Reminiscent of cheesecake, this…"
"Provincial Tomatoes","Delicious fresh tomatoes broiled with a tasty cheese topping."
"Stuffed Eggplant","A large eggplant is hollowed out, and it's flesh is mixed with Italian sausage, garlic, bread…"
"Chicken Piccata III","This spin on the original features the addition of mushrooms and artichokes in the lemony sauce."
"Pasta Shells Florentine","Everything about this entree is big. Big pasta shells, lots of great ingredients, and a huge…"
"Italian Country Style Ribs","Country style ribs smothered in hearty stewed tomatoes are easy to make when you use a jar…"
"Nikki's Steak Saltimbocca","Steak is pounded thin and rolled up with fresh sage, provolone cheese and prosciutto. This is…"
"Creamy Baked Ziti","Ziti pasta bakes with layers of creamy tomato sauce and mozzarella cheese in an easy and…"
"How to Make Homemade Pizza Sauce","It's so easy to whip up your own pizza sauce with plenty of garlic in a tomato base. Chef…"
"That's-a Meatloaf","Interesting, elegant twist on the same old meatloaf. Good enough for company, easy…"
"Bow Tie Medley","This is a great recipe for a vegetarian pasta dish full of flavor. Colorful green and yellow…"
"Garlic Penne Pasta","This recipe is so easy to make, tastes great and is a big hit at dinner time. It's even a hit as…"
"Roasted Veggie Pasta","Wonderful rustic Italian style pasta dish! Meal can be dressed up or down with…"
"Bruschetta I","Fresh tomatoes, parsley, chives, garlic and basil create this beautiful, tasty dish. Add balsamic…"
"Italian Cheese Bread","Fiery pepper-Jack cheese is combined with powdered cheese, black pepper and Italian…"
"Pressure Cooker Italian Chicken Soup","Using a pressure cooker to make this flavorful chicken soup speeds time cooking the pearl…"
"Italian Meatloaf in Zucchini Boats","Meatloaf with Italian flavors is baked inside hollowed-out zucchini boats, and topped with…"
"Caprese Burger","I am always looking for ways to jazz up the boring burger and came up with this after…"
"Italian Lasagna","There is nothing timid about the flavors of this meaty lasagna. Hot Italian sausages are…"
"Italian Bread Baked on a Pizza Stone","Mixed in the bread machine, this easy yeast bread with olive oil and a dusting of cornmeal…"
"Sicilian Sausage Soup","Italian sausage browned with fennel seeds is the beginning of this tomato and chicken broth…"
"Three Animal Italian Meatballs","Turkey, beef, and Italian sausage meatballs that go perfectly with your favorite marinara…"
"Slow Cooker Rosemary and Red Pepper Chicken","In Italy, spirited chicken dishes like this one are known as 'pollo alla contadina' or…"
"Lazy Lasagna II","A simple version of lasagna using cheese ravioli, browned beef, onion and plenty of mozzarella…"
"Johnny Marzetti Casserole","You can't go wrong with these ingredients! A homemade tomato and meat sauce mingles…"
"Chef John's Pork al Latte","When the weather gets a little colder, this pork stew really hits the spot. Pork shoulder meat…"
"Chef John's Beans and Greens","This delicious, soulful beans and greens recipe combine Cannellini beans in a flavorful broth…"
"Marinara Sauce II","Quick and easy red sauce with sauteed garlic, onion seasoned with Italian seasonings."
"Italian Beef Sandwiches","Beef rump slowly roasted with Italian seasonings until tender. Whenever these were…"
"Bruschetta with Shallots","Shallots are the special ingredient in this easy, filling bruschetta. The tomato mixture tastes…"
"Old Italian Meat Sauce","A long simmer of tomatoes with ground beef and pork is wonderfully flavored with…"
"Eggplant Pizzas","A lightly fried slice of eggplant replaces the dough in this versatile pizza."
"Bob's Slow Cooker Braciole","Your slow cooker provides the perfect low and slow heat to braise this traditional Italian…"
"Refreshing Limoncello Cake","Fluffy cake infused with lemony limoncello liqueur is the perfect ending to an Italian dinner."
"Spaghetti Squash Primavera","Spaghetti squash stands in for pasta and is tossed with zucchini, bell pepper, tomato, and…"
"Penne with Pancetta and Mushrooms","I threw this dish of penne pasta, pancetta bacon, and mushrooms together one afternoon for…"
"Tuscan Bean, Chicken, and Italian Sausage Soup","Using canned beans and tomatoes helps make a quick Italian-style soup featuring spinach and…"
"Chicken Saltimbocca","Chicken breasts with slices of prosciutto ham and Provolone cheese, braised in white wine.…"
"Italian Almond Cookies II","This cookie is very chewy on the inside and crisp on the outside, BUT the entire outside is…"
"Tasty Spaghetti Sauce","A quick and tasty spaghetti sauce. I make it for my family all the time, and they love it. Spoon…"
"Veal Chop with Portabello Mushrooms","A quick, delicious entree that is sure to impress any guest, and so easy to throw together. Veal…"
"Sicilian Lentil Pasta Sauce","Onions, mushrooms, garlic and bits of zucchini are saut Eed until tender and then cooked…"
"Orange Almond Biscotti II","These biscotti are very low in fat but they are delicious. You can substitute the almonds…"
"Balsamic Glaze","This is the balsamic glaze you want to keep on hand to brush on burgers, meats, fish, or…"
"Zucchini e Pomodori Gratinati (Zucchini and Tomato Gratin)","Slices of pan-fried zucchini alternate with mozzarella cheese and sliced tomatoes to…"
"Homemade Chicken Cacciatore, Sicilian-Style","This recipe is made with tomatoes, onions, peppers, wine, and seasonings."
"Tomato and Basil Pasta Sauce","Fresh basil is added to a sauce made of canned tomatoes simmered with balsamic vinegar,…"
"Risotto with Chicken and Asparagus","A delicious, authentic-tasting Italian risotto with chicken and asparagus. Perfect with a glass of…"
"Kim's Lasagna","A big baked lasagna features Italian sausage, ground beef, and 3 kinds of Italian cheeses…"
"Mariu's Spaghetti with Meat Sauce","An authentic Italian recipe for a savory spaghetti sauce made with ground beef, onion, celery,…"
"Asparagus Lasagna","This dish has a nice flavor and is fairly easy to make. Ham, asparagus spears, mozzarella and…"
"Beefy Manicotti","This is a very filling, easy to make manicotti dish my whole family loves- including my picky 2…"
"Gelato","Basic Gelato Recipe...from my Italian mother-in-law. This recipe may be used as a base for…"
"Tuscan Chicken","Only four ingredients are needed to make this hearty Italian inspired chicken dinner. Serve…"
"Manicotti with Cheese","Stuff hearty tubes of cooked manicotti with a fabulously rich blend of ricotta, mozzarella,…"
"Mushroom Sauce for Pasta","Mushrooms and bell peppers, sauteed with onions and butter until perfectly tender, are…"
"Hearty Italian Meatball Soup","Using canned beef broth and diced Italian-style tomatoes and frozen meatballs and…"
"Easy Vegetarian Spinach Lasagna","An easy vegetarian lasagna is filled with spinach and ricotta cheese and has a topping of…"
"Ham and Butternut Squash Spaghetti","Smoked ham, butternut squash, and mascarpone cheese combine to create a…"